CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,64,67,78
2,Female,29,92,79
3,Male,33,55,43
4,Male,41,82,97
5,Male,36,22,31
6,Female,25,16,99
7,Male,48,119,17
8,Male,38,139,92
9,Male,34,124,83
10,Female,40,100,54
11,Male,54,134,62
12,Male,33,141,87
13,Male,23,30,32
14,Male,25,76,40
15,Female,42,127,13
16,Male,35,26,84
17,Female,42,49,35
18,Female,29,25,5
19,Female,32,78,73
20,Male,43,64,29
21,Female,58,83,70
22,Male,62,62,25
23,Female,43,34,95
24,Female,64,115,22
25,Female,49,82,66
26,Female,27,49,45
27,Female,33,79,69
28,Female,24,22,91
29,Female,34,59,89
30,Female,40,101,72
31,Male,43,90,1
32,Male,38,90,84
33,Female,39,61,44
34,Female,24,29,87
35,Female,31,119,96
36,Male,32,40,75
37,Female,24,66,39
38,Male,26,107,54
39,Male,68,35,88
40,Male,65,65,75
41,Male,25,52,29
42,Male,67,34,54
43,Female,40,146,90
44,Female,46,69,16
45,Female,35,106,99
46,Female,48,42,20
47,Female,47,18,46
48,Male,69,90,67
49,Female,56,81,65
50,Female,52,100,58
51,Male,35,105,53
52,Female,59,119,1
53,Male,56,15,81
54,Female,34,86,66
55,Male,31,101,29
56,Female,48,20,84
57,Female,41,75,70
58,Male,52,26,8
59,Male,61,20,29
60,Male,62,41,51
61,Male,51,138,33
62,Male,20,120,3
63,Male,54,107,60
64,Male,60,123,35
65,Male,57,113,69
66,Female,43,49,91
67,Female,40,98,76
68,Male,61,70,84
69,Female,56,63,20
70,Female,32,60,73
71,Female,66,127,39
72,Female,21,57,4
73,Male,46,138,19
74,Female,39,111,91
75,Male,42,104,45
76,Female,30,53,43
77,Female,35,99,13
78,Female,50,76,13
79,Male,33,120,60
80,Female,62,121,57
81,Male,59,68,86
82,Female,61,140,92
83,Male,19,23,52
84,Female,52,102,53
85,Male,59,51,86
86,Male,51,63,43
87,Female,47,55,83
88,Male,30,31,72
89,Female,30,102,72
90,Female,35,35,42
91,Female,49,65,90
92,Female,49,73,26
93,Female,52,55,23
94,Female,56,53,43
95,Female,63,25,77
96,Female,69,91,28
97,Female,46,141,9
98,Female,66,60,20
99,Female,46,59,56
100,Male,61,15,83
101,Male,33,122,39
102,Female,61,33,51
103,Female,64,90,12
104,Female,27,86,79
105,Female,47,123,95
106,Female,42,26,55
107,Female,56,59,78
108,Female,37,104,11
109,Female,22,117,26
110,Male,18,22,42
111,Female,47,105,27
112,Male,66,101,11
113,Female,20,98,38
114,Female,62,96,98
115,Male,31,82,43
116,Female,47,141,19
117,Male,67,96,64
118,Female,21,98,6
119,Female,35,127,46
120,Male,54,90,42
121,Female,42,136,92
122,Male,65,55,65
123,Female,18,16,99
124,Male,63,43,72
125,Male,32,119,59
126,Female,26,65,52
127,Female,32,89,47
128,Male,66,24,7
129,Female,41,65,11
130,Female,21,132,61
131,Female,29,135,68
132,Male,54,53,25
133,Male,54,42,12
134,Male,60,17,26
135,Male,23,98,12
136,Male,56,131,43
137,Male,63,16,51
138,Male,41,107,37
139,Male,28,145,46
140,Male,30,108,53
141,Female,51,54,88
142,Male,42,16,80
143,Female,24,95,13
144,Female,69,26,89
145,Female,21,79,54
146,Male,25,69,57
147,Male,37,59,4
148,Male,46,115,75
149,Male,68,76,96
150,Female,62,63,49
151,Male,63,141,7
152,Male,27,37,11
153,Male,60,52,92
154,Male,51,42,54
155,Male,43,35,87
156,Female,58,121,45
157,Male,66,113,23
158,Female,20,133,28
159,Male,23,87,57
160,Female,22,136,26
161,Male,22,44,25
162,Male,64,122,54
163,Female,40,112,29
164,Female,66,46,83
165,Female,26,93,97
166,Male,52,55,36
167,Female,37,77,14
168,Male,66,37,78
169,Male,59,118,35
170,Female,52,89,30
171,Female,67,62,92
172,Male,35,71,17
173,Male,34,132,67
174,Female,41,114,80
175,Female,20,138,30
176,Female,49,48,93
177,Male,52,21,45
178,Male,55,70,79
179,Male,30,79,89
180,Male,64,61,51
181,Male,42,33,47
182,Male,26,140,53
183,Female,21,63,64
184,Male,31,127,38
185,Male,54,52,64
186,Male,51,78,87
187,Female,28,83,89
188,Male,58,130,7
189,Male,20,79,22
190,Female,45,45,81
191,Male,46,146,82
192,Male,26,127,41
193,Male,20,123,74
194,Male,42,83,10
195,Male,51,134,57
196,Female,29,102,7
197,Female,59,81,50
198,Female,26,89,91
199,Male,32,59,52
200,Male,57,18,33
201,Male,42,121,1
202,Female,22,65,53
203,Male,28,64,60
204,Male,51,20,34
205,Female,41,73,4
206,Male,32,139,17
207,Female,55,44,4
208,Female,25,136,43
209,Female,22,139,90
210,Male,65,51,4
211,Male,43,138,1
212,Male,35,115,71
213,Male,23,49,94
214,Male,54,101,50
215,Male,65,148,73
216,Male,30,32,61
217,Female,45,127,35
218,Male,22,43,8
219,Female,30,91,24
220,Male,34,73,83
221,Male,67,140,36
222,Male,57,123,50
223,Female,62,36,43
224,Female,49,82,27
225,Female,46,83,32
226,Female,68,63,78
227,Male,20,123,18
228,Female,57,100,28
229,Male,51,67,29
230,Male,57,137,16
231,Female,44,101,99
232,Female,30,145,47
233,Female,62,56,59
234,Female,50,112,31
235,Female,23,123,4
236,Female,41,65,37
237,Female,36,99,17
238,Female,33,141,39
239,Male,57,35,48
240,Female,45,58,46
241,Female,50,117,90
242,Male,65,82,48
243,Female,58,143,39
244,Male,30,106,4
245,Male,60,38,30
246,Female,62,139,30
247,Male,42,125,22
248,Male,59,112,75
249,Male,53,31,66
250,Male,44,113,12
251,Female,55,96,94
252,Male,24,118,36
253,Female,22,33,18
254,Male,60,99,90
255,Male,62,22,53
256,Male,68,42,71
257,Male,48,19,1
258,Female,40,115,58
259,Female,59,132,90
260,Male,27,78,87
261,Male,49,105,90
262,Female,60,131,6
263,Male,47,112,70
264,Male,56,25,44
265,Male,48,68,72
266,Female,35,61,24
267,Female,53,19,86
268,Female,19,34,19
269,Male,31,60,18
270,Male,30,26,95
271,Female,46,84,30
272,Female,29,31,42
273,Female,56,129,33
274,Female,19,62,74
275,Male,49,122,12
276,Female,30,66,94
277,Male,63,110,27
278,Female,44,84,39
279,Male,66,116,9
280,Female,58,89,21
281,Female,34,96,76
282,Female,57,106,29
283,Female,48,18,33
284,Male,51,149,62
285,Female,41,123,15
286,Male,62,62,2
287,Male,52,87,52
288,Male,65,86,44
289,Male,23,130,54
290,Female,36,95,18
291,Male,47,95,3
292,Male,24,127,7
293,Male,27,110,43
294,Female,58,86,82
295,Female,49,77,38
296,Female,51,52,37
297,Female,45,81,58
298,Male,32,83,33
299,Male,47,27,59
300,Female,54,45,95
301,Male,46,128,11
302,Male,39,36,68
303,Male,21,107,82
304,Female,37,81,68
305,Female,49,68,98
306,Male,53,56,93
307,Female,67,78,88
308,Female,21,140,22
309,Female,44,35,66
310,Female,34,49,44
311,Female,29,44,6
312,Male,39,71,42
313,Female,34,61,25
314,Male,27,33,57
315,Male,18,128,85
316,Female,39,22,55
317,Male,43,40,16
318,Male,35,127,95
319,Male,67,85,14
320,Female,31,44,39
321,Female,64,149,28
322,Male,46,81,96
323,Female,29,79,92
324,Female,53,50,51
325,Female,52,39,49
326,Female,69,51,9
327,Male,29,15,58
328,Male,24,51,45
329,Female,46,147,22
330,Female,28,142,32
331,Male,50,141,69
332,Male,23,15,87
333,Female,64,49,69
334,Male,32,118,42
335,Female,49,37,53
336,Female,68,23,96
337,Male,28,48,59
338,Male,40,142,74
339,Female,43,18,39
340,Female,51,116,15
341,Male,63,89,71
342,Female,51,113,29
343,Male,46,86,3
344,Female,21,17,83
345,Male,34,48,10
346,Male,52,59,92
347,Male,30,75,29
348,Female,58,97,79
349,Female,56,137,35
350,Male,32,116,6
351,Female,46,30,12
352,Male,46,80,38
353,Male,28,133,77
354,Female,69,138,93
355,Female,49,116,19
356,Male,19,80,67
357,Female,64,27,8
358,Female,31,125,8
359,Male,37,48,84
360,Male,39,53,47
361,Female,28,134,4
362,Male,44,140,51
363,Male,20,69,85
364,Female,34,41,67
365,Male,61,132,45
366,Male,45,67,8
367,Female,46,53,87
368,Female,38,79,16
369,Male,64,27,77
370,Male,33,35,67
371,Female,54,67,9
372,Female,37,33,60
373,Female,23,71,78
374,Female,36,39,77
375,Male,22,45,71
376,Female,20,95,15
377,Female,18,37,71
378,Male,55,46,98
379,Female,32,88,41
380,Male,51,24,22
381,Female,52,68,24
382,Female,66,66,44
383,Female,42,128,1
384,Male,41,28,10
385,Male,29,124,80
386,Female,35,67,72
387,Male,32,93,56
388,Male,61,36,89
389,Male,33,44,50
390,Male,44,18,12
391,Male,25,73,89
392,Male,63,22,81
393,Female,42,26,60
394,Female,34,133,26
395,Male,46,48,78
396,Female,25,96,41
397,Female,32,112,36
398,Female,44,141,23
399,Female,63,89,43
400,Male,67,119,6
401,Female,69,63,69
402,Female,24,93,43
403,Male,20,107,25
404,Male,46,32,18
405,Female,61,110,62
406,Female,41,52,13
407,Female,20,101,43
408,Female,37,102,78
409,Female,63,64,28
410,Female,32,22,18
411,Male,42,148,59
412,Female,47,83,60
413,Female,31,135,63
414,Male,24,78,57
415,Male,34,135,92
416,Male,61,79,51
417,Male,37,121,56
418,Female,53,114,27
419,Female,26,96,32
420,Female,55,65,9
421,Female,65,97,96
422,Female,39,126,84
423,Female,19,70,92
424,Male,41,74,97
425,Female,25,134,68
426,Male,28,37,46
427,Male,30,27,98
428,Female,34,115,67
429,Male,25,38,26
430,Female,38,122,8
431,Male,35,25,6
432,Female,47,31,80
433,Male,35,39,24
434,Female,63,108,48
435,Female,64,35,94
436,Female,48,98,45
437,Female,55,51,13
438,Female,49,56,69
439,Male,28,115,25
440,Male,62,62,20
441,Male,42,117,82
442,Female,50,42,82
443,Male,55,55,66
444,Female,58,113,74
445,Female,25,61,45
446,Male,28,119,47
447,Male,39,138,63
448,Female,68,27,76
449,Male,41,114,77
450,Female,58,45,55
451,Female,34,144,75
452,Female,29,30,19
453,Female,63,87,35
454,Female,49,68,53
455,Male,32,114,26
456,Male,33,123,14
457,Female,39,101,45
458,Female,45,22,44
459,Male,37,21,88
460,Male,50,50,65
461,Female,27,32,51
462,Male,57,17,43
463,Female,49,42,86
464,Male,67,84,23
465,Female,50,42,56
466,Male,19,68,19
467,Female,50,79,82
468,Male,50,114,76
469,Male,58,35,55
470,Female,30,27,92
471,Male,47,71,92
472,Female,50,63,60
473,Male,30,132,59
474,Female,69,68,33
475,Male,43,67,19
476,Female,39,58,28
477,Male,56,61,52
478,Female,19,67,49
479,Male,55,88,37
480,Female,56,60,26
481,Female,43,27,99
482,Female,63,116,98
483,Male,67,38,99
484,Female,32,16,40
485,Male,51,95,80
486,Female,59,114,38
487,Male,61,145,77
488,Female,66,125,87
489,Male,57,116,54
490,Male,28,31,22
491,Female,20,26,16
492,Male,23,130,28
493,Male,26,38,35
494,Female,23,43,60
495,Male,26,136,45
496,Male,56,104,46
497,Male,48,79,72
498,Female,49,98,55
499,Male,58,133,86
500,Female,67,30,85
501,Male,29,118,26
502,Male,25,106,85
503,Male,25,41,25
504,Female,67,148,65
505,Male,45,149,6
506,Male,37,47,23
507,Female,64,69,64
508,Male,24,21,87
509,Female,28,71,43
510,Female,37,140,23
511,Male,33,26,96
512,Female,21,30,30
513,Male,23,57,77
514,Female,39,131,18
515,Female,43,149,87
516,Male,20,125,79
517,Female,58,65,97
518,Female,59,89,21
519,Female,31,22,57
520,Female,28,59,23
521,Female,35,73,91
522,Male,29,146,45
523,Female,40,118,44
524,Male,29,112,82
525,Female,30,93,88
526,Male,42,138,47
527,Male,62,18,40
528,Female,68,104,51
529,Female,36,118,42
530,Female,63,133,7
531,Male,53,147,50
532,Female,62,70,48
533,Male,25,110,84
534,Male,46,89,91
535,Male,49,46,6
536,Female,68,42,91
537,Female,61,36,9
538,Male,35,31,57
539,Male,23,73,31
540,Female,35,104,21
541,Male,36,120,90
542,Female,39,40,40
543,Male,54,39,45
544,Female,49,59,77
545,Male,58,97,49
546,Female,20,25,87
547,Male,45,118,20
548,Female,27,82,92
549,Female,68,109,17
550,Male,52,79,28
551,Male,46,63,41
552,Female,32,66,66
553,Male,50,116,25
554,Female,24,71,58
555,Male,29,61,41
556,Female,66,40,6
557,Female,47,128,75
558,Female,38,19,38
559,Female,48,98,6
560,Female,41,66,45
561,Female,37,119,75
562,Male,54,68,14
563,Male,21,29,66
564,Male,45,75,40
565,Female,61,136,3
566,Female,37,35,99
567,Female,41,60,97
568,Female,67,148,24
569,Male,66,52,19
570,Male,68,76,18
571,Female,49,100,64
572,Male,58,92,88
573,Male,53,60,35
574,Female,51,17,62
575,Male,53,20,1
576,Female,19,107,100
577,Male,32,22,25
578,Female,51,122,45
579,Female,53,89,49
580,Female,23,91,98
581,Female,56,64,89
582,Male,59,25,16
583,Female,68,109,98
584,Female,68,84,93
585,Female,29,30,19
586,Male,20,82,23
587,Female,62,113,83
588,Male,35,62,25
589,Female,57,78,16
590,Male,38,104,54
591,Male,32,90,73
592,Female,50,115,1
593,Male,52,103,42
594,Female,43,32,19
595,Female,25,33,97
596,Female,53,69,34
597,Male,65,116,80
598,Male,47,132,55
599,Female,40,148,18
600,Female,59,18,34
601,Male,61,122,89
602,Female,31,129,45
603,Female,31,43,6
604,Female,19,73,21
605,Male,54,139,70
606,Male,22,112,96
607,Male,55,31,48
608,Female,62,121,39
609,Female,58,57,31
610,Female,64,94,10
611,Male,31,22,30
612,Female,56,120,18
613,Female,42,22,60
614,Female,37,110,88
615,Female,19,108,73
616,Male,56,79,95
617,Male,23,53,15
618,Female,34,95,4
619,Male,42,98,63
620,Male,45,102,40
621,Female,19,100,9
622,Female,52,107,9
623,Male,54,100,26
624,Female,22,58,4
625,Male,18,88,81
626,Female,57,50,16
627,Male,29,115,15
628,Female,53,118,99
629,Male,62,80,52
630,Male,40,69,69
631,Male,64,105,5
632,Female,48,36,20
633,Male,28,115,79
634,Male,27,135,18
635,Female,20,107,2
636,Female,31,122,93
637,Male,33,24,13
638,Male,27,23,4
639,Female,46,48,42
640,Female,27,143,74
641,Female,29,103,61
642,Female,47,107,95
643,Female,58,85,8
